DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/05/2016,23:12,,,40.7564071,-73.8534802,"(40.7564071, -73.8534802)",,,,0,1,0,1,0,0,0,0,Unspecified,Unspecified,,,,3573709,TAXI,TAXI,,,
12/06/2016,20:00,,,40.694843,-73.95248,"(40.694843, -73.95248)",NOSTRAND AVENUE                 ,,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3575461,,,,,
12/09/2016,8:30,BROOKLYN,11207,40.679466,-73.90037,"(40.679466, -73.90037)",,,1700      BUSHWICK AVENUE               ,0,1,0,0,0,0,0,1,Unspecified,Unspecified,Unspecified,Unspecified,,3577121,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
12/09/2016,16:51,MANHATTAN,10018,40.7577322,-73.9968524,"(40.7577322, -73.9968524)",WEST 39 STREET                  ,10 AVENUE,,0,1,0,1,0,0,0,0,Failure to Yield Right-of-Way,,,,,3576805,,,,,
12/09/2016,12:43,QUEENS,11375,40.7106276,-73.8518918,"(40.7106276, -73.8518918)",METROPOLITAN AVENUE             ,70 DRIVE,,0,1,0,0,0,0,0,1,Unspecified,,,,,3576771,SPORT UTILITY / STATION WAGON,,,,
12/13/2016,16:50,,,40.7283926,-73.8330138,"(40.7283926, -73.8330138)",,,,0,1,0,1,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3579106,SPORT UTILITY / STATION WAGON,,,,
12/15/2016,6:48,MANHATTAN,10019,40.7699819,-73.994646,"(40.7699819, -73.994646)",WEST 55 STREET                  ,12 AVENUE,,0,1,0,0,0,1,0,0,Failure to Yield Right-of-Way,Passing or Lane Usage Improper,,,,3580453,BICYCLE,,,,
12/16/2016,20:41,BRONX,10473,40.8213,-73.88033,"(40.8213, -73.88033)",STORY AVENUE                    ,COLGATE AVENUE,,0,1,0,1,0,0,0,0,Drugs (Illegal),,,,,3580092,PASSENGER VEHICLE,,,,
12/19/2016,4:03,BROOKLYN,11207,40.6776584,-73.8983609,"(40.6776584, -73.8983609)",JAMAICA AVENUE                  ,SHEFFIELD AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3582811,PASSENGER VEHICLE,,,,
12/19/2016,22:21,BROOKLYN,11229,40.602688,-73.933556,"(40.602688, -73.933556)",AVENUE U                        ,BURNETT STREET,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,3583026,,,,,
12/27/2016,11:32,BRONX,10457,40.84893,-73.890465,"(40.84893, -73.890465)",EAST 180 STREET                 ,HUGHES AVENUE,,0,1,0,1,0,0,0,0,Unspecified,Unspecified,,,,3587620,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/28/2016,20:13,,,40.7154325,-73.7291727,"(40.7154325, -73.7291727)",,,,3,1,0,1,0,0,3,0,Unspecified,,,,,3588534,,,,,
